n,m,c
1,2,0
2,4,0
3,6,0
4,8,0
5,10,0
6,12,0
7,14,823543
8,16,5764801
9,18,40353607
10,20,282475249
11,22,1977326743
12,24,13841287201
13,26,96889010407
14,28,678223072849
15,30,4747561509943
16,32,33232930569601
17,34,232630513987207
18,36,1628413597910449
19,38,11398895185373143
20,40,79792266297612001
21,42,558545864083284007
22,44,3909821048582988049
23,46,27368747340080916343
24,48,191581231380566414401
25,50,1341068619663964900807
26,52,9387480337647754305649
27,54,65712362363534280139543
28,56,459986536544739960976801
29,58,3219905755813179726837607
30,60,22539340290692258087863249
31,62,157775382034845806615042743
32,64,1104427674243920646305299201
33,66,7730993719707444524137094407
34,68,54116956037952111668959660849
35,70,378818692265664781682717625943
36,72,2651730845859653471779023381601
37,74,18562115921017574302453163671207
38,76,129934811447123020117172145698449
39,78,909543680129861140820205019889143
40,80,6366805760909027985741435139224001
41,82,44567640326363195900190045974568007
42,84,311973482284542371301330321821976049
43,86,2183814375991796599109312252753832343
44,88,15286700631942576193765185769276826401
45,90,107006904423598033356356300384937784807
46,92,749048330965186233494494102694564493649
47,94,5243338316756303634461458718861951455543
48,96,36703368217294125441230211032033660188801
49,98,513847155042117756177222954448471242643214
50,100,3596930085294824293240560681139298698502498
51,102,25178510597063770052683924767975090889517486
52,104,176249574179446390368787473375825636226622402
53,106,1233747019256124732581512313630779453586356814
54,108,8636229134792873128070586195415456175104497698
55,110,60453603943550111896494103367908193225731483886
56,112,423175227604850783275458723575357352580120387202
57,114,2962226593233955482928211065027501468060842710414
58,116,20735586152637688380497477455192510276425898972898
59,118,145149103068463818663482342186347571934981292810286
60,120,1016043721479246730644376395304433003544869049672002
61,122,7112306050354727114510634767131031024814083347704014
62,124,49786142352483089801574443369917217173698583433928098
63,126,348502996467381628611021103589420520215890084037496686
64,128,2439520975271671400277147725125943641511230588262476802
65,130,17076646826901699801940034075881605490578614117837337614
66,132,119536527788311898613580238531171238434050298824861363298
67,134,836755694518183290295061669718198669038352091774029543086
68,136,5857289861627283032065431688027390683268464642418206801602
69,138,41001029031390981224458021816191734782879252496927447611214
70,140,287007203219736868571206152713342143480154767478492133278498
71,142,2009050422538158079998443068993395004361083372349444932949486
72,144,14063352957767106559989101482953765030527583606446114530646402
73,146,98443470704369745919923710380676355213693085245122801714524814
74,148,689104294930588221439465972664734486495851596715859612001673698
75,150,4823730064514117550076261808653141405470961177011017284011715886
76,152,33766110451598822850533832660571989838296728239077120988082011202
77,154,236362773161191759953736828624003928868077097673539846916574078414
78,156,1654539412128342319676157800368027502076539683714778928416018548898
79,158,11581775884898396237733104602576192514535777786003452498912129842286
80,160,81072431194288773664131732218033347601750444502024167492384908896002
81,162,567507018360021415648922125526233433212253111514169172446694362272014
82,164,3972549128520149909542454878683634032485771780599184207126860535904098
83,166,27807843899641049366797184150785438227400402464194289449888023751328686
84,168,194654907297487345567580289055498067591802817249360026149216166259300802
85,170,1362584351082411418973062023388486473142619720745520183044513163815105614
86,172,9538090457576879932811434163719405311998338045218641281311592146705739298
87,174,66766633203038159529680039146035837183988366316530488969181145026940175086
88,176,467366432421267116707760274022250860287918564215713422784268015188581225602
89,178,3271565026948869816954321918155756022015429949509993959489876106320068579214
90,180,22900955188642088718680253427090292154108009646569957716429132744240480054498
91,182,160306686320494621030761773989632045078756067525989704015003929209683360381486
92,184,1122146804243462347215332417927424315551292472681927928105027504467783522670402
93,186,7855027629704236430507326925491970208859047308773495496735192531274484658692814
94,188,54985193407929655013551288478443791462013331161414468477146347718921392610849698
95,190,384896353855507585094859019349106540234093318129901279340024434032449748275947886
96,192,2694274476988553095664013135443745781638653226909308955380171038227148237931635202
97,194,18859921338919871669648091948106220471470572588365162687661197267590037665521446414
98,196,132019449372439101687536643636743543300294008118556138813628380873130263658650124898
99,198,924136145607073711812756505457204803102058056829892971695398666111911845610550874286
100,200,6468953019249515982689295538200433621714406397809250801867790662783382919273856120002
101,202,45282671134746611878825068767403035352000844784664755613074534639483680434916992840014
102,204,316978697943226283151775481371821247464005913492653289291521742476385763044418949880098
103,206,2218850885602583982062428369602748732248041394448573025040652197334700341310932649160686
104,208,15531956199218087874436998587219241125736289761140011175284565381342902389176528544124802
105,210,108723693394526615121058990110534687880154028327980078226991957669400316724235699808873614
106,212,761065853761686305847412930773742815161078198295860547588943703685802217069649898662115298
107,214,5327460976331804140931890515416199706127547388071023833122605925800615519487549290634807086
108,216,37292226834322628986523233607913397942892831716497166831858241480604308636412845034443649602
109,218,261045587840258402905662635255393785600249822015480167823007690364230160454889915241105547214
110,220,1827319114881808820339638446787756499201748754108361174761053832549611123184229406687738830498
111,222,12791233804172661742377469127514295494412241278758528223327376827847277862289605846814171813486
112,224,89538636629208632196642283892600068460885688951309697563291637794930945036027240927699202694402
113,226,626770456404460425376495987248200479226199822659167882943041464564516615252190686493894418860814
114,228,4387393194831222977635471910737403354583398758614175180601290251951616306765334805457260932025698
115,230,30711752363818560843448303375161823482083791310299226264209031763661314147357343638200826524179886
116,232,214982266546729925904138123626132764374586539172094583849463222345629199031501405467405785669259202
117,234,1504875865827109481328966865382929350622105774204662086946242556419404393220509838271840499684814414
118,236,10534131060789766369302768057680505454354740419432634608623697894935830752543568867902883497793700898
119,238,73738917425528364585119376403763538180483182936028442260365885264550815267804982075320184484555906286
120,240,516172421978698552095835634826344767263382280552199095822561196851855706874634874527241291391891344002
121,242,3613206953850889864670849443784413370843675963865393670757928377962989948122444121690689039743239408014
122,244,25292448676956229052695946106490893595905731747057755695305498645740929636857108851834823278202675856098
123,246,177047140738693603368871622745436255171340122229404289867138490520186507457999761962843762947418730992686
124,248,1239329985170855223582101359218053786199380855605830029069969433641305552205998333739906340631931116948802
125,250,8675309896195986565074709514526376503395665989240810203489786035489138865441988336179344384423517818641614
126,252,60727169273371905955522966601684635523769661924685671424428502248423972058093918353255410690964624730491298
127,254,425090184913603341688660766211792448666387633472799699970999515738967804406657428472787874836752373113439086
128,256,2975631294395223391820625363482547140664713434309597899796996610172774630846601999309515123857266611794073602
129,258,20829419060766563742744377544377829984652994040167185298578976271209422415926213995166605867000866282558515214
130,260,145805933425365946199210642810644809892570958281170297090052833898465956911483497966166241069006063977909606498
131,262,1020641533977561623394474499674513669247996707968192079630369837289261698380384485763163687483042447845367245486
132,264,7144490737842931363761321497721595684735976955777344557412588861024831888662691400342145812381297134917570718402
133,266,50011435164900519546329250484051169793151838690441411901888122027173823220638839802395020686669079944422995028814
134,268,350080046154303636824304753388358188552062870833089883313216854190216762544471878616765144806683559610960965201698
