n,m,c,k
1,2,1,1
2,4,196,1
3,6,1512,1
4,8,12320,1
5,10,70070,1
6,12,366912,1
7,14,2658936,1
8,16,13023360,1
9,18,92669346,1
10,20,437437000,1
11,22,3084621540,1
12,24,14224948920,1
13,26,64576752240,1
14,28,452914761600,1
15,30,2030606361000,1
16,32,9010477292544,1
17,34,63113351513884,1
18,36,277973288180280,1
19,38,1215260401433540,1
20,40,8513664147296000,1
21,42,37042420600875690,1
22,44,160265166681339720,1
23,46,1123570232723189160,1
24,48,4845440877603973920,1
25,50,20803201966064358750,1
26,52,88955367531184505988,1
27,54,625319388325723036176,1
28,56,2668899719961719571712,1
29,58,11353036436316753535280,1
30,60,79878493182866606827200,1
31,62,339335672891659251965920,1
32,64,1437482591693066058004480,1
33,66,6073519263015670932325860,1
34,68,42839361710122340764018800,1
35,70,180859187621177397806848920,1
36,72,761823190306347243006808512,1
37,74,3202207662103211007553191192,1
38,76,22637784420161813611059471120,1
39,78,95112899225097892382180415024,1
40,80,398872071982776452978712832800,1
41,82,1669804452921581003680358880048,1
42,84,11828466845461541213773483017600,1
43,86,49507229913110603704881520673040,1
44,88,206883150488847268997990915566080,1
45,90,863248349792881520574877949724000,1
46,92,6126071602740494047954773416283420,1
47,94,25560336706882996359603066892559010,1
48,96,106503682081504984378661315969291520,1
49,98,443206495726691975765756133172115850,1
50,100,3150299294874623728910177133189615000,1
51,102,13110285545550234110232593157481901784,1
52,104,54495669767410437527457933784508056896,1
53,106,226269218598500326871434220508248042202,1
54,108,1610635239528594821593288047981625801500,1
55,110,6688223589987602529392594758367596195200,1
56,112,27744345686382674120187602301696429488640,1
57,114,114976248896756770684297856987514922715040,1
58,116,819487246517711084372478809356160489433600,1
59,118,3396627255786143355780391564400886751563120,1
60,120,14065427430942225989442459030129966098592000,1
61,122,58193418934152575116523142943011494088030320,1
62,124,415255167998045383165364132066624437223068800,1
63,126,1718396903290583188009389224313139809377286720,1
64,128,7105127718678163293334139801986954071053066240,1
65,130,29354470534258053577954346610865922265366482500,1
66,132,121183591729829342131758512091532169503555547400,1
67,134,866513340221687075560749105091522746618186484600,1
68,136,3578078855499434594827590952392102064331932043200,1
69,138,14764218114820331329868173739541805230850619244000,1
70,140,60879104148067004361588261983524414275877728720000,1
71,142,435706921968804526963878818648672828027119632244800,1
72,144,1797064167449791573570618222165023031923399689311200,1
73,146,7407057294616101112160415189382838106809510966457900,1
74,148,30510593768850962562293423254155302864584778322741000,1
75,150,125599479296147547701762387712586768715079667719675000,1
76,152,900445631467326015593217321987703776954666254758890240,1
77,154,3707781497823544951796060576699958296243577305563567440,1
78,156,15258631916301182489648195555070383341691420877225379200,1
79,158,62758146137341151336964038366767746540923709313943124600,1
80,160,450247580115739832909580572352092029026157781811847872000,1
81,162,1852367724676458370807744668328837122138746228570904070380,1
82,164,7616701185234185936237057714094706276643666476815401617240,1
83,166,31302410015620254480679306262782149570605756300614759057300,1
84,168,128578018798428626140524946649318476222994259702488503380480,1
85,170,923801141202110969867557272000160933743674906572503099182000,1
86,172,3795701636991444997637552438792163217464062679236876389448640,1
87,174,15588080432579224247364375568777983780695899434883730639256000,1
88,176,63986210655218581898075074143652409860375228453880108640537600,1
89,178,262530200303236054060890925977049072636066907756344614131689200,1
90,180,1888710191986126462424019269351198976337032927598051984286580000,1
91,182,7751475112986721601078144907799994079093721427531246958545974400,1
92,184,31798739411094302561312119389309696758953364402205529577196630400,1
93,186,130390902594562690755060553859966162977861243569241570622562712800,1
94,188,534443316925985913044236699221479273553344750139176175439922344000,1
95,190,3849574517179396925693156314938006672168487539053579764498503240000,1
96,192,15783144618565780398865411226908776510269218432916335878683334795264,1
97,194,64684095124231158405607635568762438801430874437922749320846674397656,1
98,196,264989871588241692547960393064121461538240195484190863546916833516032,1
99,198,1909543043744364718675006659632484299920632083699832226755520820973450,1
100,200,7825030522786589334797818724363390726806216190980170015882151201578000,1
101,202,32053535144458626432930243504861161741096672434278182997958540478873094,1
102,204,131251215246591437906239642857113715697677898453916304205202683739300904,1
103,206,537244889631978234627662112282874409423339697648119960750450119400930340,1
104,208,3875519462015885973919114855460656444282421496590581038719173407951572096,1
105,210,15868021378886724218287752452431883071256205532697849237511582514881771300,1
106,212,64947417278646567797177416716657644143251911496610834766635850595621149392,1
107,214,265736338158371523124323501413775441586541886586660055414029501012639176936,1
108,216,1086909882416890158142630384270619314154203399683943472992699099611244628160,1
109,218,7848259552012526995103558123017135832120771620333309822701603626025022427976,1
110,220,32109861500825953370751922494387286649659372171540707705401225906102723670000,1
111,222,131329129407027222230092014293064381371762587684639183385353535245051645832400,1
112,224,536963215304061469459562430541644886960324645639680756027067061158040614524000,1
113,226,2194785184468015360249845537700198333879632376357771827696277906135208653960800,1
114,228,15862170427799235622321676808123591409288848417848107849246566043758360312288000,1
115,230,64853113791916869945141178523593202373728742803694416763851220390313798429980000,1
