n,m,c,k
1,2,3,1
2,4,3,1
3,6,9,2
4,8,27,3
5,10,81,4
6,12,243,5
7,14,729,6
8,16,2187,7
9,18,6561,8
10,20,19683,9
11,22,59049,10
12,24,177147,11
13,26,531441,12
14,28,1594323,13
15,30,4782969,14
16,32,14348907,15
17,34,43046721,16
18,36,129140163,17
19,38,387420489,18
20,40,1162261467,19
21,42,3486784401,20
22,44,10460353203,21
23,46,31381059609,22
24,48,94143178827,23
25,50,282429536481,24
26,52,847288609443,25
27,54,2541865828329,26
28,56,7625597484987,27
29,58,22876792454961,28
30,60,68630377364883,29
31,62,205891132094649,30
32,64,617673396283947,31
33,66,1853020188851841,32
34,68,5559060566555523,33
35,70,16677181699666569,34
36,72,50031545098999707,35
37,74,150094635296999121,36
38,76,450283905890997363,37
39,78,1350851717672992089,38
40,80,4052555153018976267,39
41,82,12157665459056928801,40
42,84,36472996377170786403,41
43,86,109418989131512359209,42
44,88,328256967394537077627,43
45,90,984770902183611232881,44
46,92,2954312706550833698643,45
47,94,8862938119652501095929,46
48,96,26588814358957503287787,47
49,98,79766443076872509863361,48
50,100,239299329230617529590083,49
51,102,717897987691852588770249,50
52,104,2153693963075557766310747,51
53,106,6461081889226673298932241,52
54,108,19383245667680019896796723,53
55,110,58149737003040059690390169,54
56,112,174449211009120179071170507,55
57,114,523347633027360537213511521,56
58,116,1570042899082081611640534563,57
59,118,4710128697246244834921603689,58
60,120,14130386091738734504764811067,59
61,122,42391158275216203514294433201,60
62,124,127173474825648610542883299603,61
63,126,381520424476945831628649898809,62
64,128,1144561273430837494885949696427,63
65,130,3433683820292512484657849089281,64
66,132,10301051460877537453973547267843,65
67,134,30903154382632612361920641803529,66
68,136,92709463147897837085761925410587,67
69,138,278128389443693511257285776231761,68
70,140,834385168331080533771857328695283,69
71,142,2503155504993241601315571986085849,70
72,144,7509466514979724803946715958257547,71
73,146,22528399544939174411840147874772641,72
74,148,67585198634817523235520443624317923,73
75,150,202755595904452569706561330872953769,74
76,152,608266787713357709119683992618861307,75
77,154,1824800363140073127359051977856583921,76
78,156,5474401089420219382077155933569751763,77
79,158,16423203268260658146231467800709255289,78
80,160,49269609804781974438694403402127765867,79
81,162,147808829414345923316083210206383297601,80
82,164,443426488243037769948249630619149892803,81
83,166,1330279464729113309844748891857449678409,82
84,168,3990838394187339929534246675572349035227,83
85,170,11972515182562019788602740026717047105681,84
86,172,35917545547686059365808220080151141317043,85
87,174,107752636643058178097424660240453423951129,86
88,176,323257909929174534292273980721360271853387,87
89,178,969773729787523602876821942164080815560161,88
90,180,2909321189362570808630465826492242446680483,89
91,182,8727963568087712425891397479476727340041449,90
92,184,26183890704263137277674192438430182020124347,91
93,186,78551672112789411833022577315290546060373041,92
94,188,235655016338368235499067731945871638181119123,93
95,190,706965049015104706497203195837614914543357369,94
96,192,2120895147045314119491609587512844743630072107,95
97,194,6362685441135942358474828762538534230890216321,96
98,196,19088056323407827075424486287615602692670648963,97
99,198,57264168970223481226273458862846808078011946889,98
100,200,171792506910670443678820376588540424234035840667,99
101,202,515377520732011331036461129765621272702107522001,100
102,204,1546132562196033993109383389296863818106322566003,101
103,206,4638397686588101979328150167890591454318967698009,102
104,208,13915193059764305937984450503671774362956903094027,103
105,210,41745579179292917813953351511015323088870709282081,104
106,212,125236737537878753441860054533045969266612127846243,105
107,214,375710212613636260325580163599137907799836383538729,106
108,216,1127130637840908780976740490797413723399509150616187,107
109,218,3381391913522726342930221472392241170198527451848561,108
110,220,10144175740568179028790664417176723510595582355545683,109
111,222,30432527221704537086371993251530170531786747066637049,110
112,224,91297581665113611259115979754590511595360241199911147,111
113,226,273892744995340833777347939263771534786080723599733441,112
114,228,821678234986022501332043817791314604358242170799200323,113
115,230,1995618748768185618675715039880512284166754096805356100,94
116,232,5986856246304556856027145119641536852500262290416068300,95
117,234,14194541421522504080087020861126477763508228837448867467,91
118,236,42583624264567512240261062583379433290524686512346602401,92
119,238,127750872793702536720783187750138299871574059537039807203,93
120,240,383252618381107610162349563250414899614722178611119421609,94
121,242,925135717373829403700071894060602328560019425944296694016,90
122,244,2775407152121488211100215682181806985680058277832890082048,91
123,246,8326221456364464633300647046545420957040174833498670246144,92
124,248,24978664369093393899901941139636262871120524500496010738432,93
125,250,74935993107280181699705823418908788613361573501488032215296,94
126,252,224807979321840545099117470256726365840084720504464096645888,95
127,254,550580945958563593274699741854587127397576033940336142451643,91
128,256,1651742837875690779824099225563761382192728101821008427354929,92
129,258,3808977691566878341718609017919579124445450927515348866539776,102
130,260,11426933074700635025155827053758737373336352782546046599619328,103
