n,m,c,D,d,k,index_in_list
1,2,2,2,1,1,0
2,4,8,2,1,1,0
3,6,50,2,1,1,0
4,8,344,2,1,1,0
5,10,2402,2,1,1,0
6,12,16808,2,1,1,0
7,14,117650,2,1,1,0
8,16,823544,2,1,1,0
9,18,5764802,2,1,1,0
10,20,40353608,2,1,1,0
11,22,282481333,29,26,1,2
12,24,1977335024,29,26,1,2
13,26,13841298226,29,26,1,2
14,28,96889024807,29,26,1,2
15,30,678223091345,29,26,1,6
16,32,4747561533352,29,26,1,7
17,34,33232930598842,29,26,1,14
18,36,232630514023307,29,26,1,15
19,38,1628413597954549,29,26,1,24
20,40,11398895185426504,29,26,1,27
21,42,79792266297676010,29,26,1,40
22,44,558545864083360183,29,26,1,49
23,46,3909821048583078049,29,26,1,61
24,48,27368747340081021968,29,26,1,75
25,50,191581231380566537602,29,26,1,90
26,52,1341068619663965043691,29,26,1,104
27,54,9387480337647754470485,29,26,1,122
28,56,65712362363534280328768,29,26,1,144
29,58,459986536544739961193026,29,26,1,161
30,60,3219905755813179727083623,29,26,1,192
31,62,22539340290692258088142033,29,26,1,209
32,64,157775382034845806615357464,29,26,1,245
33,66,1104427674243920646305653226,29,26,1,266
34,68,7730993719707444524137491307,29,26,1,309
35,70,54116956037952111668960104405,29,26,1,334
36,72,378818692265664781682718120152,29,26,1,382
37,74,2651730845859653471779023930682,29,26,1,414
38,76,18562115921017574302453164279607,29,26,1,464
39,78,129934811447123020117172146370849,29,26,1,504
40,80,909543680129861140820205020630464,29,26,1,558
41,82,6366805760909027985741435140039410,29,26,1,604
42,84,44567640326363195900190045975462923,29,26,1,665
43,86,311973482284542371301330321822956149,29,26,1,724
44,88,2183814375991796599109312252754903568,29,26,1,790
45,90,15286700631942576193765185769277994962,29,26,1,856
46,92,107006904423598033356356300384939057191,29,26,1,931
47,94,749048330965186233494494102694565876625,29,26,1,992
48,96,5243338316756303634461458718861952956168,29,26,1,1079
49,98,36703368217294125441230211032033661814426,29,26,1,1159
50,100,256923577521058878088611477224235623079883,29,26,1,1271
51,102,1798465042647412146620280340569649351150133,29,26,1,1337
52,104,12589255298531885026341962383987545446806504,29,26,1,1455
53,106,88124787089723195184393736687912818115516426,29,26,1,1525
54,108,616873509628062366290756156815389726795550007,29,26,1,1648
55,110,4318114567396436564035293097707728087554796065,29,26,1,1670
56,112,30226801971775055948247051683954096612868474352,29,26,1,1670
57,114,211587613802425391637729361787678676290063121122,29,26,1,1691
58,116,1481113296616977741464105532513750734030424488107,29,26,1,1714
59,118,10367793076318844190248738727596255138212952835349,29,26,1,1724
60,120,72574551534231909331741171093173785967490649981024,29,26,1,1737
61,122,508021860739623365322188197652216501772434528650210,29,26,1,1762
62,124,3556153025177363557255317383565515512407041677916263,29,26,1,1773
63,126,24893071176241544900787221684958608586849291721290449,29,26,1,1785
64,128,174251498233690814305510551794710260107945042023349368,29,26,1,1785
65,130,1219760487635835700138573862562971820755615294136126922,29,26,1,1797
66,132,8538323413450849900970017037940802745289307058923858091,29,26,1,1810
67,134,59768263894155949306790119265585619217025149412436185365,29,26,1,1823
68,136,418377847259091645147530834859099334519176045887020603768,29,26,1,1823
69,138,2928644930813641516032715844013695341634232321209109576026,29,26,1,1837
70,140,20500514515695490612229010908095867391439626248463730338743,29,26,1,1894
71,142,143503601609868434285603076356671071740077383739246073545633,29,26,1,1911
72,144,1004525211269079039999221534496697502180541686174722473770144,29,26,1,1928
73,146,7031676478883553279994550741476882515263791803223057273023826,29,26,1,1951
74,148,49221735352184872959961855190338177606846542622561400865384907,29,26,1,1969
75,150,344552147465294110719732986332367243247925798357929806009398325,29,26,1,1982
76,152,2411865032257058775038130904326570702735480588505508642014875952,29,26,1,1995
77,154,16883055225799411425266916330285994919148364119538560494050498162,29,26,1,2000
78,156,118181386580595879976868414312001964434038548836769923458297024807,29,26,1,2014
79,158,827269706064171159838078900184013751038269841857389464208019772049,29,26,1,2028
80,160,5790887942449198118866552301288096257267888893001726249456075950184,29,26,1,2043
81,162,40536215597144386832065866109016673800875222251012083746192466028410,29,26,1,2043
82,164,283753509180010707824461062763116716606126555757084586223347193288203,29,26,1,2048
83,166,1986274564260074954771227439341817016242885890299592103563430280696949,29,26,1,2048
84,168,13903921949820524683398592075392719113700201232097144724944011889023368,29,26,1,2048
85,170,97327453648743672783790144527749033795901408624680013074608083143645482,29,26,1,2048
86,172,681292175541205709486531011694243236571309860372760091522256581922206391,29,26,1,2048
87,174,4769045228788439966405717081859702655999169022609320640655796073368204705,29,26,1,2117
88,176,33383316601519079764840019573017918591994183158265244484590572513486127568,29,26,1,2154
89,178,233683216210633558353880137011125430143959282107856711392134007594307381826,29,26,1,2177
90,180,1635782513474434908477160959077878011007714974754996979744938053160051812203,29,26,1,2196
91,182,11450477594321044359340126713545146077054004823284978858214566372120258328533,29,26,1,2220
92,184,80153343160247310515380886994816022539378033762994852007501964604841699296384,29,26,1,2220
93,186,561073402121731173607666208963712157775646236340963964052513752233891781271426,29,26,1,2228
94,188,3927513814852118215253663462745985104429523654386747748367596265637242350140007,29,26,1,2228
95,190,27492596703964827506775644239221895731006665580707234238573173859460696327103185,29,26,1,2228
96,192,192448176927753792547429509674553270117046659064950639670012217016224874160564952,29,26,1,2228
97,194,1347137238494276547832006567721872890819326613454654477690085519113574118989349802,29,26,1,2235
98,196,9429960669459935834824045974053110235735286294182581343830598633795018832785225707,29,26,1,2235
99,198,66009724686219550843768321818371771650147004059278069406814190436565131829350564949,29,26,1,2235
100,200,462068072803536855906378252728602401551029028414946485847699333055955922805301969944,29,26,1,2235
101,202,3234476509624757991344647769100216810857203198904625400933895331391691459636955654010,29,26,1,2242
102,204,22641335567373305939412534383701517676000422392332377806537267319741840217458525106743,29,26,1,2326
103,206,158489348971613141575887740685910623732002956746326644645760871238192881522209504751649,29,26,1,2354
104,208,1109425442801291991031214184801374366124020697224286512520326098667350170655466355549568,29,26,1,2366
105,210,7765978099609043937218499293609620562868144880570005587642282690671451194588264304222642,29,26,1,2377
106,212,54361846697263307560529495055267343940077014163990039113495978834700158362117849937822091,29,26,1,2377
107,214,380532926880843152923706465386871407580539099147930273794471851842901108534824949365702645,29,26,1,2388
108,216,2663730488165902070465945257708099853063773694035511916561302962900307759743774645353343568,29,26,1,2394
109,218,18646113417161314493261616803956698971446415858248583415929120740302154318206422517259095826,29,26,1,2404
110,220,130522793920129201452831317627696892800124911007740083911503845182115080227444957620591412263,29,26,1,2404
111,222,913659557440904410169819223393878249600874377054180587380526916274805561592114703343909458833,29,26,1,2404
112,224,6395616902086330871188734563757147747206120639379264111663688413923638931144802923407127393224,29,26,1,2404
113,226,44769318314604316098321141946300034230442844475654848781645818897465472518013620463849644315226,29,26,1,2414
114,228,313385228202230212688247993624100239613099911329583941471520732282258307626095343246947253919307,29,26,1,2414
115,230,2193696597415611488817735955368701677291699379307087590300645125975808153382667402728630512062645,29,26,1,2414
116,232,15355876181909280421724151687580911741041895655149613132104515881830657073678671819100413309741352,29,26,1,2447
117,234,107491133273364962952069061813066382187293269586047291924731611172814599515750702733702892883924042,29,26,1,2486
118,236,752437932913554740664483432691464675311052887102331043473121278209702196610254919135920249893386807,29,26,1,2506
119,238,5267065530394883184651384028840252727177370209716317304311848947467915376271784433951441748949558049,29,26,1,2520
120,240,36869458712764182292559688201881769090241591468014221130182942632275407633902491037660092242332432304,29,26,1,2533
121,242,258086210989349276047917817413172383631691140276099547911280598425927853437317437263620645696001967010,29,26,1,2533
122,244,1806603476925444932335424721892206685421837981932696835378964188981494974061222060845344519871677859883,29,26,1,2555
123,246,12646224338478114526347973053245446797952865873528877847652749322870464818428554425917411639101397990549,29,26,1,2555
124,248,88523570369346801684435811372718127585670061114702144933569245260093253728999880981421881473709427511968,29,26,1,2567
125,250,619664992585427611791050679609026893099690427802915014534984716820652776102999166869953170315965622490402,29,26,1,2567
126,252,4337654948097993282537354757263188251697832994620405101744893017744569432720994168089672192211758975385191,29,26,1,2567
127,254,30363584636685952977761483300842317761884830962342835712214251124211986029046959176627705345482312433407185,29,26,1,2579
128,256,212545092456801670844330383105896224333193816736399849985499757869483902203328714236393937418376186627027768,29,26,1,2579
129,258,1487815647197611695910312681741273570332356717154798949898498305086387315423300999654757561928633305969542026,29,26,1,2579
130,260,10414709530383281871372188772188914992326497020083592649289488135604711207963106997583302933500433141354010923,29,26,1,2587
131,262,72902966712682973099605321405322404946285479140585148545026416949232978455741748983083120534503031989031856533,29,26,1,2615
132,264,510320766988780811697237249837256834623998353984096039815184918644630849190192242881581843741521223922763028664,29,26,1,2632
133,266,3572245368921465681880660748860797842367988477888672278706294430512415944331345700171072906190648567458867171226,29,26,1,2653
134,268,25005717582450259773164625242025584896575919345220705950944061013586911610319419901197510343334539972211581786807,29,26,1,2668
135,270,175040023077151818412152376694179094276031435416544941656608427095108381272235939308382572403341779805480569388705,29,26,1,2679
136,272,1225280161540062728885066636859253659932220047915814591596258989665758668905651575158678006823392458638363467565152,29,26,1,2694
137,274,8576961130780439102195466458014775619525540335410702141173812927660310682339561026110746047763747210468543739428882,29,26,1,2694
138,276,60038727915463073715368265206103429336678782347874914988216690493622174776376927182775222334346230473279805626764107,29,26,1,2708
139,278,420271095408241516007577856442724005356751476435124404917516833455355223434638490279426556340423613312958638822055349,29,26,1,2708
140,280,2941897667857690612053044995099068037497260335045870834422617834187486564042469431955985894382965293190710471172689264,29,26,1,2708
141,282,20593283675003834284371314965693476262480822345321095840958324839312405948297286023691901260680757052334973297610367410,29,26,1,2739
142,284,144152985725026839990599204759854333837365756417247670886708273875186841638081002165843308824765299366344813082656995623,29,26,1,2739
143,286,1009070900075187879934194433318980336861560294920733696206957917126307891466567015160903161773357095564413691577965909649,29,26,1,2739
144,288,7063496300526315159539361033232862358030922064445135873448705419884155240265969106126322132413499668950895841045110454568,29,26,1,2752
145,290,49444474103684206116775527232630036506216454451115951114140937939189086681861783742884254926894497682656270887315104040762,29,26,1,2752
146,292,346111318725789442817428690628410255543515181157811657798986565574323606773032486200189784488261483778593896211205040535691,29,26,1,2752
147,294,2422779231080526099722000834398871788804606268104681604592905959020265247411227403401328491417830386450157273478434577006325,29,26,1,2752
148,296,16959454617563682698054005840792102521632243876732771232150341713141856731878591823809299439924812705151100914349041312916168,29,26,1,2783
149,298,118716182322945778886378040885544717651425707137129398625052391991992997123150142766665096079473688936057706400443288444504426,29,26,1,2810
150,300,831013276260620452204646286198813023559979949959905790375366743943950979862050999366655672556315822552403944803103018345440183,29,26,1,2810
151,302,5817092933824343165432524003391691164919859649719340532627567207607656859034356995566589707894210757866827613621721127631401633,29,26,1,2827
152,304,40719650536770402158027668023741838154439017548035383728392970453253598013240498968966127955259475305067793295352047892612130704,29,26,1,2827
153,306,285037553757392815106193676166192867081073122836247686098750793172775186092683492782762895686816327135474553067464335247455815426,29,26,1,2839
154,308,1995262876301749705743355733163350069567511859853733802691255552209426302648784449479340269807714289948321871472250346731339766507,29,26,1,2855
155,310,13966840134112247940203490132143450486972583018976136618838788865465984118541491146355381888654000029638253100305752427118505153365,29,26,1,2862
156,312,97767880938785735581424430925004153408808081132832956331871522058261888829790438024487673220578000207467771702140266989828640156352,29,26,1,2862
157,314,684375166571500149069971016475029073861656567929830694323100654407833221808533066171413712544046001452274401914981868928799562032322,29,26,1,2877
158,316,4790626166000501043489797115325203517031595975508814860261704580854832552659731463199895987808322010165920813404873082501595991573607,29,26,1,2877
159,318,33534383162003507304428579807276424619221171828561704021831932065983827868618120242399271914658254071161445693834111577511170974320849,29,26,1,2894
160,320,234740682134024551131000058650934972334548202799931928152823524461886795080326841696794903402607778498130119856838781042578195829052824,29,26,1,2918
161,322,1643184774938171857917000410556544806341837419599523497069764671233207565562287891877564323818254449486910838997871467298047369787215210,29,26,1,2918
162,324,11502293424567203005419002873895813644392861937196664479488352698632452958936015243142950266727781146408375872985100271086331587468921963,29,26,1,2918
163,326,80516053971970421037933020117270695510750033560376651356418468890427170712552106702000651867094468024858631110895701897604321111214964949,29,26,1,2918
164,328,563612377803792947265531140820894868575250234922636559494929282232990194987864746914004563069661276174010417776269913283230247777410881368,29,26,1,2932
165,330,3945286644626550630858717985746264080026751644458455916464504975630931364915053228398031941487628933218072924433889392982611734440755425722,29,26,1,2932
166,332,27617006512385854416011025900223848560187261511209191415251534829416519554405372598786223590413402532526510471037225750878282141084139873591,29,26,1,2950
167,334,193319045586700980912077181301566939921310830578464339906760743805915636880837608191503565132893817727685573297260580256147974987587803148065,29,26,1,2961
168,336,1353233319106906866384540269110968579449175814049250379347325206641409458165863257340524955930256724093799013080824061793035824913113417704768,29,26,1,2961
169,338,9472633233748348064691781883776780056144230698344752655431276446489866207161042801383674691511797068656593091565768432551250774391792690727026,29,26,1,2993
170,340,66308432636238436452842473186437460393009614888413268588018935125429063450127299609685722840582579480596151640960379027858755420742547572492043,29,26,1,2993
171,342,464159028453669055169897312305062222751067304218892880116132545878003444150891097267800059884078056364173061486722653195011287945197831714934133,29,26,1,2993
172,344,3249113199175683386189281186135435559257471129532250160812927821146024109056237680874600419188546394549211430407058572365079015616384820681587344,29,26,1,3010
173,346,22743792394229783703324968302948048914802297906725751125690494748022168763393663766122202934319824761844480012849410006555553109314693743417183826,29,26,1,3019
174,348,159206546759608485923274778120636342403616085347080257879833463236155181343755646362855420540238773332911360089945870045888871765202856202297713032,28,26,1,0
175,350,1114445827317259401462923446844454396825312597429561805158834242653086269406289524539987943781671413330379520629621090321222102356419993416083807825,28,26,1,0
176,352,7801120791220815810240464127911180777777188182006932636111839698571603885844026671779915606471699893312656644407347632248554716494939953912586469272,28,26,1,0
177,354,54607845538545710671683248895378265444440317274048528452782877890001227200908186702459409245301899253188596510851433425739883015464579677388105097285,28,26,1,0
178,356,382254918769819974701782742267647858111082220918339699169480145230008590406357306917215864717113294772320175575960033980179181108252057741716735491248,28,26,1,0
179,358,2675784431388739822912479195873535006777575546428377894186361016610060132844501148420511053019793063406241229031720237861254267757764404192017148246849,28,26,1,0
180,360,18730491019721178760387354371114745047443028824998645259304527116270420929911508038943577371138551443843688603222041665028779874304350829344120037533904,28,26,1,0
181,362,131113437138048251322711480597803215332101201774990516815131689813892946509380556272605041597969860106905820222554291655201459120130455805408840262541125,28,26,1,0
182,364,917794059966337759258980364184622507324708412424933617705921828697250625565663893908235291185789020748340741557880041586410213840913190637861881837589496,28,26,1,0
183,366,6424558419764364314812862549292357551272958886974535323941452800880754378959647257357647038300523145238385190905160291104871496886392334465033172862925905,28,26,1,0
184,368,44971908938350550203690037845046502858910712208821747267590169606165280652717530801503529268103662016668696336336122037734100478204746341255232210040278568,28,26,1,0
185,370,314803362568453851425830264915325520012374985461752230873131187243156964569022715610524704876725634116680874354352854264138703347433224388786625470281744997,28,26,1,0
186,372,2203623537979176959980811854407278640086624898232265616111918310702098751983159009273672934137079438816766120480469979848970923432032570721506378291972007776,28,26,1,0
187,374,15425364765854238719865682980850950480606374287625859312783428174914691263882113064915710538959556071717362843363289858942796464024227995050544648043803844993,28,26,1,0
188,376,107977553360979671039059780865956653364244620013381015189483997224402838847174791454409973772716892502021539903543029012599575248169595965353812536306626703264,28,26,1,0
189,378,755842873526857697273418466061696573549712340093667106326387980570819871930223540180869816409018247514150779324801203088197026737187171757476687754146386708901,28,26,1,0
190,380,5290900114688003880913929262431876014847986380655669744284715863995739103511564781266088714863127732599055455273608421617379187160310202302336814279024706746088,28,26,1,0
191,382,37036300802816027166397504837023132103935904664589688209993011047970173724580953468862621004041894128193388186915258951321654310122171416116357699953172947004113,28,26,1,0
192,384,259254105619712190164782533859161924727551332652127817469951077335791216072066674282038347028293258897353717308406812659251580170855199912814503899672210628807992,28,26,1,0
193,386,1814778739337985331153477737014133473092859328564894722289657541350538512504466719974268429198052812281476021158847688614761061195986399389701527297705474401432837,28,26,1,0
194,388,12703451175365897318074344159098934311650015299954263056027602789453769587531267039819879004386369685970332148111933820303327428371904795727910691083938320809804432,28,26,1,0
195,390,88924158227561281226520409113692540181550107099679841392193219526176387112718869278739153030704587801792325036783536742123291998603333570095374837587568245668403265,28,26,1,0
196,392,622469107592928968585642863795847781270850749697758889745352536683234709789032084951174071214932114612546275257484757194863043990223334990667623863112977719678592752,28,26,1,0
197,394,4357283753150502780099500046570934468895955247884312228217467756782642968523224594658218498504524802287823926802393300364041307931563344934673367041790844037749916805,28,26,1,0
198,396,30500986272053519460696500325996541282271686735190185597522274297478500779662572162607529489531673616014767487616753102548289155520943414542713569292535908264249182808,28,26,1,0
199,398,213506903904374636224875502281975788975901807146331299182655920082349505457638005138252706426721715312103372413317271717838024088646603901798994985047751357849744042449,28,26,1,0
200,400,1494548327330622453574128515973830522831312650024319094278591440576446538203466035967768944987052007184723606893220902024866168620526227312592964895334259504948208057544,28,26,1,0
