n,m,c
1,2,0
2,3,0
3,4,27
4,5,81
5,6,243
6,7,729
7,8,2187
8,9,6561
9,10,39366
10,11,118098
11,12,354294
12,13,1062882
13,14,3188646
14,15,9565938
15,16,28697814
16,17,86093442
17,18,258280326
18,19,774840978
19,20,2324522934
20,21,6973568802
21,22,20920706406
22,23,62762119218
23,24,188286357654
24,25,564859072962
25,26,1694577218886
26,27,5083731656658
27,28,22876792454961
28,29,68630377364883
29,30,205891132094649
30,31,617673396283947
31,32,1853020188851841
32,33,5559060566555523
33,34,16677181699666569
34,35,50031545098999707
35,36,150094635296999121
36,37,450283905890997363
37,38,1350851717672992089
38,39,4052555153018976267
39,40,12157665459056928801
40,41,36472996377170786403
41,42,109418989131512359209
42,43,328256967394537077627
43,44,984770902183611232881
44,45,2954312706550833698643
45,46,8862938119652501095929
46,47,26588814358957503287787
47,48,79766443076872509863361
48,49,239299329230617529590083
49,50,717897987691852588770249
50,51,2153693963075557766310747
51,52,6461081889226673298932241
52,53,19383245667680019896796723
53,54,58149737003040059690390169
54,55,174449211009120179071170507
55,56,523347633027360537213511521
56,57,1570042899082081611640534563
57,58,4710128697246244834921603689
58,59,14130386091738734504764811067
59,60,42391158275216203514294433201
60,61,127173474825648610542883299603
61,62,381520424476945831628649898809
62,63,1144561273430837494885949696427
63,64,3433683820292512484657849089281
64,65,10301051460877537453973547267843
65,66,30903154382632612361920641803529
66,67,92709463147897837085761925410587
67,68,278128389443693511257285776231761
68,69,834385168331080533771857328695283
69,70,2503155504993241601315571986085849
70,71,7509466514979724803946715958257547
71,72,22528399544939174411840147874772641
72,73,67585198634817523235520443624317923
73,74,202755595904452569706561330872953769
74,75,608266787713357709119683992618861307
75,76,1824800363140073127359051977856583921
76,77,5474401089420219382077155933569751763
77,78,16423203268260658146231467800709255289
78,79,49269609804781974438694403402127765867
79,80,147808829414345923316083210206383297601
80,81,443426488243037769948249630619149892803
81,82,1773705952972151079792998522476599571212
82,83,5321117858916453239378995567429798713636
83,84,15963353576749359718136986702289396140908
84,85,47890060730248079154410960106868188422724
85,86,143670182190744237463232880320604565268172
86,87,431010546572232712389698640961813695804516
87,88,1293031639716698137169095922885441087413548
88,89,3879094919150094411507287768656323262240644
89,90,11637284757450283234521863305968969786721932
90,91,34911854272350849703565589917906909360165796
91,92,104735562817052549110696769753720728080497388
92,93,314206688451157647332090309261162184241492164
93,94,942620065353472941996270927783486552724476492
94,95,2827860196060418825988812783350459658173429476
95,96,8483580588181256477966438350051378974520288428
96,97,25450741764543769433899315050154136923560865284
97,98,76352225293631308301697945150462410770682595852
98,99,229056675880893924905093835451387232312047787556
99,100,687170027642681774715281506354161696936143362668
100,101,2061510082928045324145844519062485090808430088004
101,102,6184530248784135972437533557187455272425290264012
102,103,18553590746352407917312600671562365817275870792036
103,104,55660772239057223751937802014687097451827612376108
104,105,166982316717171671255813406044061292355482837128324
105,106,500946950151515013767440218132183877066448511384972
106,107,1502840850454545041302320654396551631199345534154916
107,108,4508522551363635123906961963189654893598036602464748
108,109,13525567654090905371720885889568964680794109807394244
109,110,40576702962272716115162657668706894042382329422182732
110,111,121730108886818148345487973006120682127146988266548196
111,112,365190326660454445036463919018362046381440964799644588
112,113,1095570979981363335109391757055086139144322894398933764
113,114,3286712939944090005328175271165258417432968683196801292
114,115,9860138819832270015984525813495775252298906049590403876
115,116,29580416459496810047953577440487325756896718148771211628
116,117,88741249378490430143860732321461977270690154446313634884
117,118,266223748135471290431582196964385931812070463338940904652
118,119,798671244406413871294746590893157795436211390016822713956
119,120,2396013733219241613884239772679473386308634170050468141868
120,121,7188041199657724841652719318038420158925902510151404425604
121,122,21564123598973174524958157954115260476777707530454213276812
122,123,64692370796919523574874473862345781430333122591362639830436
123,124,194077112390758570724623421587037344290999367774087919491308
124,125,582231337172275712173870264761112032872998103322263758473924
125,126,1746694011516827136521610794283336098618994309966791275421772
126,127,5240082034550481409564832382850008295856982929900373826265316
127,128,15720246103651444228694497148550024887570948789701121478795948
128,129,47160738310954332686083491445650074662712846369103364436387844
129,130,141482214932862998058250474336950223988138539107310093309163532
130,131,424446644798588994174751423010850671964415617321930279927490596
131,132,1273339934395766982524254269032552015893246851965790839782471788
132,133,3820019803187300947572762807097656047679740555897372519347415364
133,134,11460059409561902842718288421292968143039221667692117558042246092
134,135,34380178228685708528154865263878904429117665003076352674126738276
135,136,103140534686057125584464595791636713287352995009229058022380214828
136,137,309421604058171376753393787374910139862058985027687174067140644484
137,138,928264812174514130260181362124730419586176955083061522201421933452
138,139,2784794436523542390780544086374191258758530865249184566604265800356
139,140,8354383309570627172341632259122573776275592595747553699812797401068
140,141,25063149928711881517024896777367721328826777787242661099438392203204
141,142,75189449786135644551074690332103163986480333361727983298315176609612
142,143,225568349358406933653224070996309491959441000085183949894945529828836
143,144,676705048075220800959672212988928475878323000255551849684836589486508
144,145,2030115144225662402879016638966785427634969000766655549054509768459524
145,146,6090345432676987208637049916900356282904907002299966647163529305378572
146,147,18271036298030961625911149750701068848714721006899899941490587916135716
147,148,54813108894092884877733449252103206546144163020699699824471763748407148
148,149,164439326682278654633200347756309619638432489062099099473415291245221444
149,150,493317980046835963899601043268928858915297467186297298420245873735664332
150,151,1479953940140507891698803129806786576745892401558891895260737621206992996
151,152,4439861820421523675096409389420359730237677204676675685782212863620978988
152,153,13319585461264571025289228168261079190713031614030027057346638590862936964
153,154,39958756383793713075867684504783237572139094842090081172039915772588810892
154,155,119876269151381139227603053514349712716417284526270243516119747317766432676
155,156,359628807454143417682809160543049138149251853578810730548359241953299298028
156,157,1078886422362430253048427481629147414447755560736432191645077725859897894084
157,158,3236659267087290759145282444887442243343266682209296574935233177579693682252
158,159,9709977801261872277435847334662326730029800046627889724805699532739081046756
159,160,29129933403785616832307542003986980190089400139883669174417098598217243140268
160,161,87389800211356850496922626011960940570268200419651007523251295794651729420804
161,162,262169400634070551490767878035882821710804601258953022569753887383955188262412
162,163,786508201902211654472303634107648465132413803776859067709261662151865564787236
163,164,2359524605706634963416910902322945395397241411330577203127784986455596694361708
164,165,7078573817119904890250732706968836186191724233991731609383354959366790083085124
165,166,21235721451359714670752198120906508558575172701975194828150064878100370249255372
166,167,63707164354079144012256594362719525675725518105925584484450194634301110747766116
167,168,191121493062237432036769783088158577027176554317776753453350583902903332243298348
168,169,573364479186712296110309349264475731081529662953330260360051751708709996729895044
169,170,1720093437560136888330928047793427193244588988859990781080155255126129990189685132
170,171,5160280312680410664992784143380281579733766966579972343240465765378389970569055396
171,172,15480840938041231994978352430140844739201300899739917029721397296135169911707166188
172,173,46442522814123695984935057290422534217603902699219751089164191888405509735121498564
173,174,139327568442371087954805171871267602652811708097659253267492575665216529205364495692
174,175,417982705327113263864415515613802807958435124292977759802477726995649587616093487076
175,176,1253948115981339791593246546841408423875305372878933279407433180986948762848280461228
176,177,3761844347944019374779739640524225271625916118636799838222299542960846288544841383684
177,178,11285533043832058124339218921572675814877748355910399514666898628882538865634524151052
178,179,33856599131496174373017656764718027444633245067731198544000695886647616596903572453156
179,180,101569797394488523119052970294154082333899735203193595632002087659942849790710717359468
180,181,304709392183465569357158910882462247001699205609580786896006262979828549372132152078404
181,182,914128176550396708071476732647386741005097616828742360688018788939485648116396456235212
182,183,2742384529651190124214430197942160223015292850486227082064056366818456944349189368705636
183,184,8227153588953570372643290593826480669045878551458681246192169100455370833047568106116908
184,185,24681460766860711117929871781479442007137635654376043738576507301366112499142704318350724
185,186,74044382300582133353789615344438326021412906963128131215729521904098337497428112955052172
186,187,222133146901746400061368846033314978064238720889384393647188565712295012492284338865156516
187,188,666399440705239200184106538099944934192716162668153180941565697136885037476853016595469548
188,189,1999198322115717600552319614299834802578148488004459542824697091410655112430559049786408644
189,190,5997594966347152801656958842899504407734445464013378628474091274231965337291677149359225932
190,191,17992784899041458404970876528698513223203336392040135885422273822695896011875031448077677796
191,192,53978354697124375214912629586095539669610009176120407656266821468087688035625094344233033388
192,193,161935064091373125644737888758286619008830027528361222968800464404263064106875283032699100164
193,194,485805192274119376934213666274859857026490082585083668906401393212789192320625849098097300492
194,195,1457415576822358130802640998824579571079470247755251006719204179638367576961877547294291901476
195,196,4372246730467074392407922996473738713238410743265753020157612538915102730885632641882875704428
196,197,13116740191401223177223768989421216139715232229797259060472837616745308192656897925648627113284
197,198,39350220574203669531671306968263648419145696689391777181418512850235924577970693776945881339852
198,199,118050661722611008595013920904790945257437090068175331544255538550707773733912081330837644019556
199,200,354151985167833025785041762714372835772311270204525994632766615652123321201736243992512932058668
200,201,1062455955503499077355125288143118507316933810613577983898299846956369963605208731977538796176004
