n,m,c,D,d,k,index_in_list
1,2,2,2,1,1,0
2,3,8,2,1,1,0
3,4,50,2,1,1,0
4,5,344,2,1,1,0
5,6,2402,2,1,1,0
6,7,16808,2,1,1,0
7,8,117650,2,1,1,0
8,9,823544,2,1,1,0
9,10,5764802,2,1,1,0
10,11,40353608,2,1,1,0
11,12,282481333,29,26,1,2
12,13,1977335024,29,26,1,2
13,14,13841298226,29,26,1,2
14,15,96889024807,29,26,1,2
15,16,678223091345,29,26,1,5
16,17,4747561533352,29,26,1,5
17,18,33232930598842,29,26,1,10
18,19,232630514023307,29,26,1,10
19,20,1628413597954549,29,26,1,17
20,21,11398895185426504,29,26,1,18
21,22,79792266297676010,29,26,1,28
22,23,558545864083360183,29,26,1,33
23,24,3909821048583078049,29,26,1,39
24,25,27368747340081021968,29,26,1,51
25,26,191581231380566537602,29,26,1,59
26,27,1341068619663965043691,29,26,1,70
27,28,9387480337647754470485,29,26,1,80
28,29,65712362363534280328768,29,26,1,95
29,30,459986536544739961193026,29,26,1,109
30,31,3219905755813179727083623,29,26,1,125
31,32,22539340290692258088142033,29,26,1,140
32,33,157775382034845806615357464,29,26,1,159
33,34,1104427674243920646305653226,29,26,1,172
34,35,7730993719707444524137491307,29,26,1,206
35,36,54116956037952111668960104405,29,26,1,229
36,37,378818692265664781682718120152,29,26,1,252
37,38,2651730845859653471779023930682,29,26,1,279
38,39,18562115921017574302453164279607,29,26,1,308
39,40,129934811447123020117172146370849,29,26,1,340
40,41,909543680129861140820205020630464,29,26,1,370
41,42,6366805760909027985741435140039410,29,26,1,408
42,43,44567640326363195900190045975462923,29,26,1,438
43,44,311973482284542371301330321822956149,29,26,1,485
44,45,2183814375991796599109312252754903568,29,26,1,533
45,46,15286700631942576193765185769277994962,29,26,1,569
46,47,107006904423598033356356300384939057191,29,26,1,621
47,48,749048330965186233494494102694565876625,29,26,1,670
48,49,5243338316756303634461458718861952956168,29,26,1,724
49,50,36703368217294125441230211032033661814426,29,26,1,765
50,51,256923577521058878088611477224235623079883,29,26,1,827
51,52,1798465042647412146620280340569649351150133,29,26,1,888
52,53,12589255298531885026341962383987545446806504,29,26,1,952
53,54,88124787089723195184393736687912818115516426,29,26,1,1015
54,55,616873509628062366290756156815389726795550007,29,26,1,1078
55,56,4318114567396436564035293097707728087554796065,29,26,1,1105
56,57,30226801971775055948247051683954096612868474352,29,26,1,1105
57,58,211587613802425391637729361787678676290063121122,29,26,1,1116
58,59,1481113296616977741464105532513750734030424488107,29,26,1,1135
59,60,10367793076318844190248738727596255138212952835349,29,26,1,1153
60,61,72574551534231909331741171093173785967490649981024,29,26,1,1164
61,62,508021860739623365322188197652216501772434528650210,29,26,1,1164
62,63,3556153025177363557255317383565515512407041677916263,29,26,1,1192
63,64,24893071176241544900787221684958608586849291721290449,29,26,1,1206
64,65,174251498233690814305510551794710260107945042023349368,29,26,1,1206
65,66,1219760487635835700138573862562971820755615294136126922,29,26,1,1206
66,67,8538323413450849900970017037940802745289307058923858091,29,26,1,1234
67,68,59768263894155949306790119265585619217025149412436185365,29,26,1,1248
68,69,418377847259091645147530834859099334519176045887020603768,29,26,1,1248
69,70,2928644930813641516032715844013695341634232321209109576026,29,26,1,1271
